"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2020-01-07,"09:39:00","D5","PX",981.4
2020-01-07,"23:59:00","D5","PN",978.3
2020-01-07,NA,"D5","PPT",0
2020-01-07,NA,"D5","RS24h",9.3
2020-01-07,NA,"D5","VVM10",3.5
2020-01-07,NA,"D5","DVM10",310
2020-01-07,"08:46:00","D5","VVX10",8.8
2020-01-07,"08:46:00","D5","DVVX10",315
2020-01-07,NA,"X2","TM",9.1
2020-01-07,"14:00:00","X2","TX",15.6
2020-01-07,"07:27:00","X2","TN",4.7
2020-01-07,NA,"X2","HRM",77
2020-01-07,"05:09:00","X2","HRX",96
2020-01-07,"14:06:00","X2","HRN",42
2020-01-07,NA,"X4","TM",11.6
2020-01-07,"13:58:00","X4","TX",16.3
2020-01-07,"07:17:00","X4","TN",8.6
2020-01-07,NA,"X4","HRM",59
2020-01-07,"01:55:00","X4","HRX",80
2020-01-07,"13:58:00","X4","HRN",36
2020-01-07,NA,"X4","PM",1024.9
2020-01-07,"09:45:00","X4","PX",1026.7
2020-01-07,"23:56:00","X4","PN",1023.1
2020-01-07,NA,"X4","PPT",0
2020-01-07,NA,"X4","RS24h",9
2020-01-07,NA,"X4","VVM10",1.1
2020-01-07,NA,"X4","DVM10",260
2020-01-07,"12:51:00","X4","VVX10",5.1
2020-01-07,"12:51:00","X4","DVVX10",246
2020-01-07,NA,"X8","TM",9.9
2020-01-07,"14:10:00","X8","TX",16.2
2020-01-07,"06:52:00","X8","TN",5.5
2020-01-07,NA,"X8","HRM",68
2020-01-07,"01:36:00","X8","HRX",96
2020-01-07,"14:12:00","X8","HRN",39
2020-01-07,NA,"X8","PM",1019.3
2020-01-07,"09:35:00","X8","PX",1021
2020-01-07,"23:58:00","X8","PN",1017.5
2020-01-07,NA,"X8","PPT",0
2020-01-07,NA,"X8","RS24h",9.2
2020-01-07,NA,"X8","VVM10",1.1
2020-01-07,NA,"X8","DVM10",284
2020-01-07,"13:10:00","X8","VVX10",5.9
2020-01-07,"13:10:00","X8","DVVX10",286
2020-01-08,NA,"D5","TM",10.3
2020-01-08,"13:27:00","D5","TX",15.4
2020-01-08,"06:35:00","D5","TN",7.6
2020-01-08,NA,"D5","HRM",76
2020-01-08,"23:30:00","D5","HRX",93
2020-01-08,"00:39:00","D5","HRN",31
2020-01-08,NA,"D5","PM",980.8
2020-01-08,"10:21:00","D5","PX",982.4
2020-01-08,"00:12:00","D5","PN",978.2
2020-01-08,NA,"D5","PPT",0
2020-01-08,NA,"D5","RS24h",8.8
2020-01-08,NA,"D5","VVM10",2.2
2020-01-08,NA,"D5","DVM10",95
2020-01-08,"02:23:00","D5","VVX10",8.9
2020-01-08,"02:23:00","D5","DVVX10",47
2020-01-08,NA,"X2","TM",9.3
2020-01-08,"11:09:00","X2","TX",15.9
2020-01-08,"06:55:00","X2","TN",4.8
2020-01-08,NA,"X2","HRM",83
2020-01-08,"23:46:00","X2","HRX",99
2020-01-08,"10:31:00","X2","HRN",54
2020-01-08,NA,"X4","TM",12.3
2020-01-08,"10:17:00","X4","TX",16.4
2020-01-08,"01:45:00","X4","TN",8.5
2020-01-08,NA,"X4","HRM",68
2020-01-08,"23:50:00","X4","HRX",82
2020-01-08,"10:16:00","X4","HRN",50
2020-01-08,NA,"X4","PM",1025.8
2020-01-08,"09:38:00","X4","PX",1027.5
