SSCCG_SSCC,MUNG_MUNCO,PROVG_PROV,CCAAG_CCAA,TIMESTAMP,DEVICE_AID,DEVICE_A_1,LATITUDE,LONGITUDE,HORIZONTAL,ALTITUDE,ALTITUDE_A,LOCATION_M,IP,USER_AGENT,OS,OS_VERSION,MANUFACTUR,MODEL,CARRIER,FECHA_DATO,THE_GEOM,ID_SSCC,ID_CP,ID_MUN,ID_PROV,ID_CCAA
"801910042","8019","8","9","1574081340",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887132","12.8","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188713, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574081848",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887132","8.800000000000001","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188713, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574081307",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887132","13.9","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188713, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574081854",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887132","9.5","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188713, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574081328",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887132","9.699999999999999","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188713, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574082291",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028024","2.188729","8.5","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188729, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574071663",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028023","2.1887066","14","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188707, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574100958",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028023","2.188706","11.2","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188706, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574100900",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028023","2.188706","16.1","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188706, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574100909",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028023","2.188706","14.4","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188706, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
